date,close,high,low,open,volume,return,vol_20d,ret_next_5d,vol_next_5d,min_ret_next_20d
2024-11-25,5987.3701171875,6020.75,5963.91015625,5992.27978515625,5633150000,,,0.010440270837033694,,
2024-11-26,6021.6298828125,6025.419921875,5992.27001953125,6000.02978515625,3835170000,0.005722005647630368,,0.010771228525291887,0.06304309145536006,-0.02949284635160343
2024-11-27,5998.740234375,6020.16015625,5984.8701171875,6014.10986328125,3363340000,-0.003801238017440034,,0.012730944485414453,0.06427152603938283,-0.02949284635160343
2024-11-29,6032.3798828125,6044.169921875,6003.97998046875,6003.97998046875,2444420000,0.005607785488815242,,0.009596566834872311,0.05357375178455688,-0.02949284635160343
2024-12-02,6047.14990234375,6053.580078125,6035.330078125,6040.10986328125,4412470000,0.0024484564662998753,,0.0009426251051409817,0.04641628643919961,-0.02949284635160343
2024-12-03,6049.8798828125,6052.06982421875,6033.39013671875,6042.97021484375,4095000000,0.0004514491145146682,,-0.0024743840956295005,0.0727913260267905,-0.02949284635160343
2024-12-04,6086.490234375,6089.83984375,6061.06005859375,6069.39013671875,4003390000,0.006051417924264779,,-0.000377934224844112,0.07600600374444041,-0.02949284635160343
2024-12-05,6075.10986328125,6094.5498046875,6072.89990234375,6089.02978515625,4212020000,-0.0018697756269248078,,-0.0039274784848686295,0.08799953302304987,-0.02949284635160343
2024-12-06,6090.27001953125,6099.97021484375,6079.97998046875,6081.3798828125,3924830000,0.0024954538421815275,,-0.006433241162641545,0.09583184212696537,-0.02949284635160343
2024-12-09,6052.85009765625,6088.509765625,6048.6298828125,6083.009765625,4556460000,-0.006144213927296471,,0.0035074353612309928,0.09201066036804062,-0.02949284635160343
2024-12-10,6034.91015625,6065.39990234375,6029.89013671875,6057.58984375,4048410000,-0.002963883313944371,,0.002601481484358237,0.08573567536509849,-0.02949284635160343
2024-12-11,6084.18994140625,6092.58984375,6060.14990234375,6060.14990234375,4269950000,0.008165786048233592,,-0.03484930404839448,0.08836489381308045,-0.02949284635160343
